sim_num,date,virus_id,tool_id,count,weight
1,40,0,-1,1,1
1,42,0,-1,1,1
2,49,0,-1,1,1
2,58,0,-1,1,1
5,11,0,-1,1,1
10,34,0,-1,1,1
10,46,0,-1,1,1
11,21,0,0,1,1
12,60,0,-1,1,1
13,23,0,-1,1,1
13,50,0,-1,1,1
13,55,0,-1,1,1
14,25,0,-1,1,1
15,48,0,0,1,1
16,32,0,-1,3,3
16,49,0,-1,1,1
16,55,0,-1,1,1
16,56,0,-1,1,1
18,31,0,-1,1,1
18,39,0,-1,1,1
19,11,0,-1,1,1
20,11,0,0,1,1
21,29,0,-1,1,1
21,39,0,-1,1,1
21,41,0,-1,1,1
21,47,0,-1,1,1
21,52,0,-1,1,1
21,55,0,-1,1,1
21,58,0,-1,1,1
21,18,0,0,1,1
22,34,0,0,1,1
24,25,0,-1,1,1
24,34,0,-1,1,1
24,48,0,-1,1,1
24,50,0,-1,1,1
24,51,0,-1,1,1
24,52,0,-1,1,1
24,53,0,-1,1,1
24,54,0,-1,1,1
24,58,0,-1,1,1
24,60,0,-1,3,3
24,32,0,0,1,1
24,59,0,0,1,1
26,51,0,-1,1,1
27,36,0,-1,1,1
27,51,0,-1,1,1
28,32,0,-1,1,1
28,48,0,-1,1,1
28,51,0,-1,1,1
28,56,0,-1,1,1
28,60,0,-1,1,1
28,6,0,0,1,1
29,12,0,-1,1,1
29,17,0,-1,1,1
30,21,0,-1,1,1
30,38,0,-1,1,1
30,42,0,-1,1,1
30,52,0,-1,1,1
30,60,0,-1,1,1
30,22,0,0,1,1
30,51,0,0,1,1
32,32,0,-1,1,1
32,34,0,-1,2,2
32,37,0,-1,1,1
32,39,0,-1,2,2
32,42,0,-1,1,1
32,50,0,-1,1,1
32,46,0,0,1,1
34,36,0,-1,1,1
34,47,0,-1,1,1
34,49,0,-1,1,1
34,55,0,-1,1,1
34,57,0,-1,1,1
34,27,0,0,1,1
34,53,0,0,1,1
35,28,0,-1,1,1
35,50,0,-1,1,1
35,58,0,-1,1,1
35,4,0,0,1,1
36,45,0,-1,1,1
36,51,0,-1,2,2
36,52,0,-1,1,1
36,56,0,-1,1,1
36,58,0,-1,1,1
36,13,0,0,1,1
36,53,0,0,1,1
37,41,0,-1,1,1
37,42,0,-1,1,1
37,46,0,-1,1,1
37,60,0,-1,1,1
38,52,0,-1,1,1
38,53,0,-1,1,1
39,23,0,-1,1,1
39,27,0,-1,1,1
39,31,0,-1,1,1
39,41,0,-1,1,1
39,42,0,-1,1,1
39,44,0,-1,1,1
39,48,0,-1,1,1
39,49,0,-1,1,1
39,51,0,-1,1,1
39,58,0,-1,1,1
39,60,0,-1,1,1
39,37,0,0,1,1
39,41,0,0,1,1
39,44,0,0,1,1
39,49,0,0,1,1
39,60,0,0,1,1
41,52,0,-1,1,1
41,59,0,-1,1,1
41,11,0,0,1,1
41,55,0,0,1,1
42,32,0,-1,1,1
42,55,0,-1,2,2
42,57,0,-1,1,1
42,59,0,-1,1,1
45,45,0,-1,1,1
45,50,0,-1,1,1
45,44,0,0,1,1
47,40,0,-1,1,1
48,29,0,-1,1,1
49,39,0,-1,1,1
50,17,0,-1,1,1
50,32,0,-1,1,1
50,33,0,-1,1,1
50,32,0,0,1,1
50,39,0,0,1,1
52,6,0,0,1,1
54,44,0,-1,1,1
54,25,0,0,1,1
55,8,0,0,1,1
55,32,0,0,1,1
56,12,0,0,1,1
58,26,0,-1,1,1
58,40,0,-1,1,1
58,51,0,-1,1,1
59,10,0,0,1,1
61,40,0,-1,1,1
61,43,0,-1,1,1
63,20,0,-1,1,1
63,3,0,0,1,1
64,29,0,-1,1,1
64,30,0,-1,1,1
64,32,0,-1,1,1
64,51,0,-1,1,1
64,52,0,-1,1,1
64,54,0,-1,1,1
64,55,0,-1,1,1
64,60,0,-1,2,2
64,53,0,0,1,1
64,60,0,0,1,1
72,22,0,-1,1,1
72,28,0,0,1,1
73,31,0,-1,1,1
73,46,0,-1,2,2
73,37,0,0,1,1
73,43,0,0,1,1
77,48,0,-1,1,1
77,44,0,0,1,1
81,25,0,-1,1,1
83,42,0,-1,1,1
84,49,0,-1,1,1
84,58,0,-1,1,1
84,59,0,-1,2,2
87,24,0,-1,1,1
87,53,0,-1,1,1
87,54,0,-1,1,1
88,47,0,-1,1,1
88,52,0,-1,1,1
88,40,0,0,1,1
88,57,0,0,1,1
89,45,0,-1,1,1
89,54,0,0,1,1
90,41,0,-1,1,1
91,28,0,-1,1,1
91,40,0,-1,1,1
91,57,0,-1,1,1
93,40,0,-1,1,1
93,42,0,0,1,1
94,24,0,-1,1,1
94,26,0,-1,1,1
94,34,0,-1,1,1
94,40,0,-1,1,1
94,44,0,-1,1,1
94,46,0,-1,1,1
94,49,0,-1,1,1
94,52,0,-1,1,1
94,55,0,-1,1,1
94,59,0,-1,1,1
94,27,0,0,1,1
95,28,0,-1,1,1
96,15,0,-1,1,1
97,28,0,-1,1,1
98,46,0,-1,1,1
98,47,0,-1,1,1
98,49,0,-1,1,1
98,12,0,0,1,1
